,y,y_hat,dummy
2017-06-02,207.0,174.36749674548284,214.82586268231947
2017-06-03,189.0,166.37713393299347,214.82447092299483
2017-06-04,164.0,153.33903589192994,214.81987908961594
2017-06-05,179.0,174.62244765973333,214.81084444444446
2017-06-06,196.0,170.2026188321123,214.80447920369713
2017-06-07,189.0,178.24974427949263,214.80113737337837
2017-06-08,188.0,180.0331103391276,214.796552949538
2017-06-09,186.0,188.77716346960167,214.7917925031089
2017-06-10,207.0,176.0622397074813,214.7866785079929
2017-06-11,197.0,163.4576904616215,214.78529568460308
2017-06-12,179.0,178.68114453969488,214.7821377840909
2017-06-13,204.0,182.50684609946123,214.7757855494408
2017-06-14,205.0,177.25371933286436,214.773872914448
2017-06-15,196.0,180.48391357001717,214.77213842058563
2017-06-16,193.0,189.37374119907014,214.76880766501066
2017-06-17,198.0,188.66495512873428,214.7649458932056
2017-06-18,178.0,176.5154022492576,214.7619723306137
2017-06-19,173.0,177.17840225875094,214.7554530945203
2017-06-20,184.0,192.017601452671,214.74804964539007
2017-06-21,191.0,186.07775821629198,214.74259882999468
2017-06-22,219.0,187.22719988281534,214.73839064161646
2017-06-23,205.0,184.95570085870537,214.739145844409
2017-06-24,190.0,186.89922855699,214.73742026931254
2017-06-25,177.0,176.21419232881811,214.73303808680248
2017-06-26,191.0,175.51308888139351,214.72635494155153
2017-06-27,194.0,190.15238777137014,214.72215335576414
2017-06-28,158.0,188.62923861543467,214.71848441926346
2017-06-29,196.0,193.09499422202725,214.7084439723845
2017-06-30,200.0,188.26417574754655,214.70513274336284
2017-07-01,199.0,184.8698100612509,214.7025305255707
2017-07-02,162.0,177.26316326312815,214.69975230007077
2017-07-03,214.0,175.63293583289055,214.6904298602512
2017-07-04,165.0,187.27258948756895,214.69030774672797
2017-07-05,179.0,184.480162635097,214.6815207780725
2017-07-06,196.0,191.71515116188024,214.67521216407354
2017-07-07,175.0,193.32873193069952,214.67191090684108
2017-07-08,176.0,183.38700393802463,214.66489925768823
2017-07-09,190.0,174.51108695536402,214.65806679625376
2017-07-10,192.0,182.43660514840187,214.65371024734984
2017-07-11,200.0,183.2327865694498,214.64970853206148
2017-07-12,192.0,185.60074343075559,214.6471211586012
2017-07-13,211.0,191.9765445087996,214.64312202013068
2017-07-14,203.0,194.77205014749327,214.64247881355934
2017-07-15,217.0,191.61716035742103,214.64042365401588
2017-07-16,170.0,176.86716280875737,214.64084009883516
2017-07-17,239.0,188.98001904380916,214.63296276689607
2017-07-18,203.0,196.23723914134936,214.63726182074805
2017-07-19,208.0,188.85084160753155,214.63520903157524
2017-07-20,195.0,198.69185779840143,214.63403880070547
2017-07-21,214.0,196.24584265135357,214.63057661788045
2017-07-22,179.0,194.91061283822785,214.63046544428772
2017-07-23,181.0,187.18942114125036,214.62418473470828
2017-07-24,165.0,202.74490116151674,214.61825872400422
2017-07-25,224.0,194.41426602321704,214.6095154185022
